keyword,workCount,adCount,dailyAdCount,dailyCount,cafeCount,cafeIds,articleUrlCount,firstPublishedAt,lastPublishedAt
"왕실비책","4","4","0","0","2","25636798 | 25729954","4","2026-03-31T10:17:59.072Z","2026-04-01T08:30:21.900Z"
"울릉도 흑염소","4","0","0","0","4","25227349 | 25460974 | 25636798 | 25729954","4","2026-03-17T11:02:00.492Z","2026-03-17T11:16:52.502Z"
"이경재 흑염소","4","4","0","0","2","25227349 | 25729954","4","2026-03-31T10:17:17.129Z","2026-04-01T11:09:22.423Z"
"이경제흑염소120포","4","4","0","0","1","25729954","4","2026-04-17T02:26:50.356Z","2026-05-03T13:56:23.935Z"
"임산부 흑염소","4","1","0","0","2","25636798 | 25729954","4","2026-02-27T01:54:19.363Z","2026-05-05T15:26:43.381Z"
"임산부선물추천","4","0","0","0","2","25227349 | 25729954","4","2026-02-28T07:49:48.103Z","2026-03-08T11:06:19.597Z"
"임산부영양제","4","1","0","0","2","25227349 | 25636798","4","2026-02-25T03:25:41.992Z","2026-04-03T07:01:51.775Z"
"자연방목 흑염소","4","3","1","0","4","25227349 | 25460974 | 25636798 | 25729954","4","2026-04-02T07:47:48.543Z","2026-05-04T04:48:18.642Z"
"장모님선물","4","3","0","0","1","25729954","4","2026-03-02T11:26:13.241Z","2026-04-16T08:52:47.070Z"
"장흥흑염소","4","3","0","0","2","25636798 | 25729954","4","2026-03-25T10:46:53.012Z","2026-05-10T11:48:30.832Z"
"정관장 홍삼활력플러스업","4","2","2","0","2","25460974 | 25729954","4","2026-04-17T02:41:35.592Z","2026-04-26T09:42:32.106Z"
"정관장 활기력","4","3","1","0","2","25460974 | 25729954","4","2026-04-10T23:02:43.952Z","2026-05-03T18:35:58.480Z"
"진피 소화불량","4","0","0","0","2","25227349 | 25636798","4","2026-01-21T08:23:00.023Z","2026-02-09T08:55:13.653Z"
"출산후 산모 선물","4","4","0","0","1","25729954","4","2026-04-08T12:16:39.840Z","2026-05-04T12:55:33.990Z"
"출산후 영양제","4","3","1","0","3","25227349 | 25460974 | 25729954","4","2026-04-02T13:25:03.696Z","2026-05-17T15:56:02.045Z"
"폐경후 생리","4","3","0","0","2","25227349 | 25636798","4","2026-03-21T05:46:38.623Z","2026-05-10T11:50:10.887Z"
"한달에 생리 세번","4","0","0","0","3","25227349 | 25636798 | 25729954","4","2026-03-14T06:17:20.280Z","2026-03-17T13:11:48.268Z"
"헛개나무 효과","4","0","0","0","2","25227349 | 25636798","4","2026-01-21T08:21:13.025Z","2026-02-09T02:45:55.937Z"
"혈당낮추는음식","4","0","0","0","3","25227349 | 25460974 | 25729954","4","2026-02-19T04:46:08.700Z","2026-03-13T13:04:43.845Z"
"혈액순환 영양제","4","1","0","0","2","25227349 | 25460974","4","2026-02-28T11:44:00.484Z","2026-04-07T10:07:46.129Z"
